app_name,confidence,status,notes
Plaid,100,PASS,
Binance,0,FAIL,Documentation missing
Paygent Connect,55,REVIEW,Authentication missing; Limited documentation retrieved
iPayX,0,FAIL,Authentication missing; API surface not detected in retrieved page; Self Serve unknown; Buildability uncertain; Limited documentation retrieved
QuickBooks,0,FAIL,Authentication missing; API surface not detected in retrieved page; Self Serve unknown; Buildability uncertain; Limited documentation retrieved
Xero,0,FAIL,Authentication missing; API surface not detected in retrieved page; Self Serve unknown; Buildability uncertain; Limited documentation retrieved
Brex,55,REVIEW,Authentication missing; Limited documentation retrieved
Ramp,20,FAIL,Authentication missing; API surface not detected in retrieved page; Self Serve unknown; Limited documentation retrieved
PitchBook,20,FAIL,Authentication missing; API surface not detected in retrieved page; Self Serve unknown; Limited documentation retrieved
NotebookLM,85,PASS,Self Serve unknown
Otter AI,60,REVIEW,Authentication missing; Buildability uncertain
Fathom,60,REVIEW,Self Serve unknown; Limited documentation retrieved
Consensus,65,REVIEW,Authentication missing; Self Serve unknown
Reducto,65,REVIEW,Authentication missing; Self Serve unknown
Devin,65,REVIEW,API surface not detected in retrieved page; Self Serve unknown
higgsfield,100,PASS,
Mermaid CLI,40,FAIL,Authentication missing; Self Serve unknown; Limited documentation retrieved
YouTube Transcript,100,PASS,
Grain,75,REVIEW,Limited documentation retrieved
